mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
54647.73754,-11.60055,0.0475,-11.2766,0.0476,MaidanakSITE
54650.72015,-11.56366,0.0321,-11.23518,0.0341,MaidanakSITE
54653.7202,-11.65422,0.0706,-11.31187,0.0694,MaidanakSITE
54655.94034,-11.59549,0.0147,-11.25607,0.0149,Mercator
54657.90851,-11.59779,0.0097,-11.23579,0.0139,Mercator
54659.95275,-11.60709,0.0151,-11.24571,0.0155,Mercator
54670.71457,-11.59671,0.0558,-11.24633,0.0757,MaidanakSITE
54675.90114,-11.59941,0.015,-11.27257,0.0152,Mercator
54676.886,-11.61224,0.0145,-11.29128,0.0147,Mercator
54677.88196,-11.60665,0.0159,-11.291,0.0165,Mercator
54678.67612,-11.66045,0.0598,-11.35843,0.0605,MaidanakSITE
54784.24411,-11.61307,0.0187,-11.31612,0.0198,Mercator
54786.24778,-11.61571,0.0204,-11.31804,0.021,Mercator
54788.22906,-11.61691,0.0209,-11.31149,0.0214,Mercator
54789.24247,-11.59745,0.0201,-11.31356,0.0205,Mercator
54794.25317,-11.58405,0.0199,-11.31722,0.02,Mercator
54800.25476,-11.60079,0.0189,-11.33809,0.0191,Mercator
54802.20515,-11.59469,0.0207,-11.32971,0.0208,Mercator
54806.01373,-11.58779,0.0093,-11.31596,0.0188,HCT
54810.00845,-11.59291,0.0088,-11.32444,0.0101,HCT
54810.96478,-11.58122,0.0124,-11.3148,0.0157,HCT
54811.24828,-11.61636,0.0235,-11.36802,0.0235,Mercator
54814.11352,-11.58742,0.0253,-11.35492,0.0286,Mercator
54819.09512,-11.6378,0.0258,-11.40784,0.0274,Mercator
54821.25752,-11.61933,0.0211,-11.40007,0.0211,Mercator
54821.96503,-11.59157,0.0087,-11.36829,0.0099,HCT
54825.00225,-11.60453,0.0096,-11.36926,0.0105,HCT
54832.02324,-11.62708,0.0109,-11.3843,0.0118,HCT
54866.80844,-11.67971,0.0126,-11.34009,0.0147,HCT
54877.90305,-11.72569,0.0125,-11.35976,0.0143,HCT
54879.89676,-11.72991,0.0152,-11.36403,0.0203,HCT
54890.88548,-11.71299,0.0126,-11.31914,0.0141,HCT
54892.91524,-11.71678,0.0119,-11.33845,0.0129,HCT
54896.79183,-11.7038,0.0144,-11.31582,0.0183,HCT
54916.93084,-11.703,0.0111,-11.31368,0.0125,HCT
54933.72038,-11.69461,0.0169,-11.34806,0.0193,HCT
54934.92255,-11.69359,0.0139,-11.36163,0.016,HCT
54954.66284,-11.70036,0.0223,-11.2982,0.0296,HCT
54963.72319,-11.71843,0.0123,-11.40813,0.0138,HCT
54967.65198,-11.73718,0.0102,-11.41909,0.0112,HCT
54994.71373,-11.77985,0.0105,-11.48695,0.0116,HCT
54998.70961,-11.76811,0.0088,-11.49113,0.0099,HCT
55146.99664,-11.87023,0.0158,-11.60155,0.0175,HCT
55161.97308,-11.85114,0.0147,-11.60429,0.0157,HCT
55171.99496,-11.84935,0.0192,-11.59923,0.0206,HCT
55181.99572,-11.87243,0.014,-11.67026,0.0149,HCT
55187.82997,-11.88487,0.0146,-11.67827,0.0151,HCT
55192.98737,-11.89949,0.015,-11.66896,0.0155,HCT
55203.85053,-11.90087,0.0131,-11.71488,0.0136,HCT
55207.8542,-11.91375,0.015,-11.70668,0.0159,HCT
55218.01912,-11.9057,0.0143,-11.70982,0.0148,HCT
55232.9874,-11.84634,0.0192,-11.69189,0.02,HCT
55237.77126,-11.88308,0.0186,-11.67215,0.0196,HCT
55242.95662,-11.87982,0.0138,-11.72711,0.0143,HCT
55247.87879,-11.87559,0.0125,-11.68819,0.013,HCT
55251.91771,-11.89525,0.0128,-11.69886,0.0133,HCT
55264.78889,-11.87355,0.0152,-11.6452,0.0203,HCT
55269.78706,-11.88801,0.0086,-11.6658,0.0107,HCT
55274.78082,-11.84514,0.0094,-11.62517,0.0103,HCT
55279.65077,-11.84603,0.0158,-11.67667,0.0175,HCT
55287.81428,-11.86194,0.0139,-11.67987,0.0155,HCT
55292.92262,-11.84274,0.0105,-11.65882,0.0111,HCT
55302.74266,-11.80856,0.01,-11.70064,0.0106,HCT
55312.762,-11.81124,0.0147,-11.70695,0.0157,HCT
55318.71026,-11.82234,0.018,-11.71329,0.0092,HCT
55323.73261,-11.8254,0.0185,-11.70772,0.0143,HCT
55328.79231,-11.80711,0.0087,-11.69628,0.0131,HCT
55333.70579,-11.83184,0.0152,-11.68013,0.0203,HCT
55338.71906,-11.85947,0.0136,-11.6926,0.0157,HCT
55345.68485,-11.80762,0.0162,-11.65208,0.0139,HCT
55347.7225,-11.80716,0.0099,-11.68463,0.0106,HCT
55364.69554,-11.87998,0.0088,-11.68881,0.0075,HCT
55371.65951,-11.82124,0.0283,-11.70895,0.0174,HCT
55380.6933,-11.81821,0.0099,-11.69543,0.0105,HCT
55385.66846,-11.80259,0.0079,-11.64683,0.0122,HCT
55394.69925,-11.82062,0.0104,-11.6862,0.0117,HCT
55395.6398,-11.8024,0.0182,-11.66074,0.0203,HCT
55406.63005,-11.77477,0.0095,-11.64973,0.0104,HCT
55538.02062,-11.98404,0.0198,-11.62174,0.021,HCT
55562.99976,-11.96793,0.0198,-11.70575,0.023,HCT
55576.96418,-11.96216,0.0126,-11.72619,0.0129,HCT
55586.02554,-11.9633,0.0134,-11.78163,0.014,HCT
55592.02874,-11.91137,0.0162,-11.75857,0.0165,HCT
55608.97299,-11.87122,0.0465,-11.79186,0.0475,HCT
55624.78465,-11.83634,0.0202,-11.75996,0.0204,HCT
55634.94143,-11.84336,0.0225,-11.78617,0.0227,HCT
55644.94614,-11.83752,0.0196,-11.85567,0.0195,HCT
55651.90572,-11.82681,0.0215,-11.87289,0.0214,HCT
55659.63934,-11.83818,0.0209,-11.87838,0.0209,HCT
55677.8589,-11.74052,0.025,-11.79609,0.0249,HCT
55688.732,-11.74376,0.0255,-11.79569,0.0254,HCT
55694.74771,-11.73773,0.0276,-11.76678,0.0279,HCT
55712.68947,-11.75606,0.023,-11.76037,0.023,HCT
55737.66378,-11.65727,0.0331,-11.59859,0.0332,HCT
55746.67812,-11.67403,0.0305,-11.61856,0.0305,HCT
55761.63427,-11.64708,0.0357,-11.57295,0.0359,HCT
